Reporting,Owner,Installation Date,Station Name,,Adresses,Site Type,Latitude,Longitude,Council District,Agreement determined Neighborhood,Base Non-Bolted,Base Bolted,Power Type,Board Type,Aircard Type,AC Plugin,Dock,Bikes Ordered via TIP,Bikes Ordered via HBS,Method of Insurance,Station Count ,Dock Count,Bike Count,Notes,Bike to Dock Ratio,METRO?,Sponsor,Sponsor Amt Pd,"BTT
Installed"
,COH,3/29/2013,Hermann Park Lake Plaza,,"6100 Hermann Park Dr., Houston, TX 77030",Park,29.71639442,-95.39039612,D,Hermann Park,N/A,7,DC,1,Verizon 3G,N/A,13,9,,,,,,,,,,,
"TIP, PC1",COH,12/18/2019,Hermann Park Rice U METROrail,,"6050 Fannin St., Houston TX 77030",Park,29.72004,-95.3932,D,Hermann Park,,,DC,,,,15,,,,,,,,,Y,,,
TIP,COH,12/8/2015;12/20/2017,Jackson Hill & Memorial Dr,,"300 Jackson Hill St, Houston, TX 77007",ROW,29.76373863,-95.40198517,C,Washington Corridor,N/A,8,DC,1.5,Verizon 3G,N/A,15,8,,,,,,,,,,,
PC1,PC1,4/27/2021,La Branch & Alabama,,"1502 Alabama St. Houston, TX 77004",ROW,29.735107,-95.375796,,Midtown,N/A,8,DC,1,INSEEGO DS,N/A,15,,,,,,,,,Y,,,
,COH,3/27/2013,LaBranch & Lamar,,"1075 La Branch, Houston, TX 77002",ROW,29.75374413,-95.36116028,I,Downtown,N/A,6,DC,1.5,Feeney 4G,N/A,11,7,,,,,,,,,,,
,COH,5/2/2012,Lamar & Crawford ,,"1177 Crawford St., Houston, TX 77002",ROW,29.75248337,-95.36073303,I,Downtown,6,N/A,DC,"1.0 (D8,9 1.5)",Feeney 4G,N/A,11,6,,,,,,,,,,,
,COH,3/27/2013,Lamar & Milam,,"782 Lamar, Houston, TX 77002",ROW,29.75726891,-95.36749268,I,Downtown,4,N/A,DC,1.5,Feeney 4G,N/A,14,9,,,,,,,,,,,
TIP,COH,4/26/2017,Lost Lake,,"3450 D'Amico St., Houston, TX 77019",ROW,29.759209,-95.402012,C,Montrose,N/A,6,DC,1.5 DL,Feeney 4G,N/A,22,10,,,,,,,,,,,
"TIP, PC1",COH,10/22/2019,MacGregor Park,,5225 Calhoun Rd. Houston TX 77021,Park,29.71017,-95.34025,D,Third Ward,,N/A,DC,,,N/A,17,,,,,,,,,,,,
,COH,3/30/2013,Main & Dallas,,"1250 Main St., Houston, TX 77002",ROW,29.75526237,-95.36601257,I,Downtown,7,N/A,DC,1.5,Feeney 4G,N/A,13,8,,,,,,,,Y,,,
,COH,9/10/2013,Milam & Webster,,"2215 Milam St., Houston, TX 77002",ROW,29.74874878,-95.37413788,C,Midtown,6,N/A,DC,1.5,Feeney 4G,N/A,11,8,,,,,,,,Y,,,
TIP,COH,8/25/2021,MLK & Griggs,,"5107 Griggs Rd. Houston, TX, 77021",ROW,29.69864017,-95.33720369,D,Inner Loop SE,N/A,6,DC,1.5,Inseego DS,N/A,11,6,,,,,,,,Y,,,
TIP,COH,2/15/2022,Park @ Palm Center,,"5400 Griggs Rd., Houston, TX 77021",Park,29.69504,-95.332149,D,Inner Loop SE,6,N/A,DC,1.5,Inseego DS,N/A,11,,,,,,,,,Y,,,
,HBS,2/15/2022,Perry & Milart,,"6110 Milart St, Houston, TX 77021",ROW,29.693419,-95.341336,,Inner Loop SE,5,N/A,DC,1.5,Inseego SC,N/A,8,,,,,,,,,,,,
,HBS,3/28/2013,Sabine Bridge,,"190 Sabine Sr., Houston, TX 77007",ROW,29.76187897,-95.3756485,"H, C",Montrose/Midtown,6,,DC,1.5,Feeney 4G,N/A,21,6,,,,,,,,,,,
,COH,3/28/2013,Smith & Capitol, 1 Suspended,"612 Smith St., Houston, TX 77002",ROW,29.7615242,-95.36669922,I,Downtown,7,,DC,1.5,Feeney 4G,N/A,15,10,,,,,,,,,,,
,COH,9/10/2013,Spotts Park,,"3683 Willia St., Houston, TX 77007",Park,29.76618004,-95.3969574,H,Washington Corridor,N/A,4,DC,1.5 DL,Feeney 4G,N/A,14,9,,,,,,,,,,,
,COH,9/9/2013,Taft & Fairview,,"2401 Taft St., Houston, TX 77006",ROW,29.74820328,-95.38568115,C,Montrose,6,N/A,DC,1.5 DL,Feeney 4G,N/A,11,7,,,,,,,,,,,
TIP,COH,3/27/2013;11/28/17,Westheimer & Waugh,,"1111 Westheimer, Houston, TX 77006",Private Property,29.74484253,-95.3927536,C,Montrose,N/A,4,DC,1.5,,N/A,14,12,,,,,,,,,,,
TIP,COH,4/11/2022,Convention Center ,,"1001 Avenidas De Las Americas Houston, TX 77010",ROW,29.75435,-95.35749,,Downtown,N/A,N/A,B,3,N/A,N/A,15,,,,,,,,,Y,,,
,HBS,9/15/2022,Post Oak & 4Oaks Pl. ,,"1500 Post Oak Blvd. Houston, TX 77056",Private Property,29.75267,-95.46061,,Uptown,N/A,N/A,B,3,N/A,,15,0,8,,,,,,,Y,Y,,N
,HBS,4/28/2022,Regent Square,,"3515 W. Dallas St. Houston, TX 77019",Private Property,29.75592,-95.402471,C,Montrose,N/A,N/A,B,3,N/A,N/A,10,5,,,,,,,,,,,
,HBS,7/29/2022,The Ion,,"4201 Main St. Houston, TX 77002",Private Property,29.73466,-95.38196,,Midtown,N/A,N/A,B,3,N/A,,10,0,5,,,,,,,Y,,,
,HBS,11/22/2022,Trebly Park,,"1199 Bell St. Houston, TX 77002",Private Property,29.75246,-95.36683,,Downtown,N/A,N/A,B,3,N/A,N/A,11,5,,,,,,,,,Downtown MD,,
PC1,PC1,9/20/2022,NRG - Fannin,,"1NRG Park Houston, TX 77054",Private Property,29.68647,-95.40392,,Inner Loop SW,N/A,8,AC,,Inseego DS,,15,0,0,,,,,,,Y,Y,,N
PC1,PC1 ,9/19/2022,NRG - Kirby,,"8799 Kirby Dr. Houston, TX 77054",Private Property,29.68495,-95.41259,,Inner Loop SW,8,N/A,AC,,Inseego DS,,15,0,0,,,,,,,,Y,,N
TIP,COH,4/18/2018,2222 Smith,,"2222 Smith St., Houston, TX 77002",ROW,29.74999,-95.37566,C,Midtown,6,N/A,AC,1.5 DL,Verizon 3G,2222 Smith Building,11,7,,,,,,,,,,,
TIP,COH,1/17/2018,24ELEVEN WASHINGTON,,"2411 Washington Ave., Houston, TX 77006",ROW,29.76822,-95.38286,H,Washington Corridor,N/A,5,AC,1.5 DL,Verizon 3G,2411 Building. Jenea White,9,9,,,,,,,,Y,,,
,COH,6/10/2013,Clay & Smith,,"554 Clay St., Houston, TX 77002",ROW,29.75771904,-95.36981964,I,Downtown,N/A,7,AC,1.5 DL,Verizon 3G,N/A,13,7,,,,,,,,Y,,,
TIP,COH,1/17/2017,Crawford Island,,"925 Crawford St., Houston, TX 77010",ROW,29.754428,-95.359303,I,Downtown,N/A,10,AC,1.5 DL,Verizon 3G,Downtown District,19,11,,,,,,,,,,,
,COH,3/27/2013,Elgin & Smith,,"614 Elgin, Houston, TX 77006",ROW,29.74367905,-95.38031769,C,Midtown,N/A,6,AC,1.5,Verizon 3G,,11,7,,,,,,,,Y,,,
"TIP, PC1",COH,6/14/2017;11/28/2017; 6/9/2022,Jury Assembly,,"201 Caroline Street, Houston, TX 77002",ROW,29.76161,-95.35802,I,Downtown,N/A,11,AC,1.5 DL,Inseego SC,Harris County Civil Courthouse,21,14,,,,,,,,Y,,,
TIP,COH,5/2/2012; 11/15/2021,Lamar & Bagby,,"430 Lamar St., Houston, TX 77002",ROW,29.75936,-95.370544,I,Downtown,6,N/A,AC,"1.0 (D8,9 1.5)",Verizon 3G,Paul Marro,11,5,,,,,,,,,,,
TIP,COH,3/26/2013; 3/9/2021,Lamar & Caroline ,,"1300 Lamar St, Houston, Texas 77010",ROW," 29°45'16.51""N"," 95°21'45.86""W",I,Downtown,N/A,8,AC,1.5,Feeney 4G,,15,10,,,,,,"was McKinney & Caroline, moved due to City reconstruction of sidewalks",,,,,
,HBS,3/22/2016,Main Street Square METRORail Main & Walker,,"914 Main St., Houston, TX 77002",ROW,29.75764,-95.36436,I,Downtown,7,N/A,AC,1.5 DL,Feeney 4G,Joe Maxwell - Downtown District,13,7,,,,,,,,Y,,,
,COH,4/25/2012,Market Square,,"864 Congress St., Houston, TX 77002",Park,29.76276779,-95.36197662,I,Downtown,3,N/A,AC,1,Feeney 4G,Joe Maxwell - Downtown District,10,7,,,,,,,,21,,,
,COH,9/9/2013,Menil Collection/Alabama & Mulberry,," 1506 W Alabama St, Houston, TX 77006",ROW,29.75562668,-95.36245728,C,Montrose,7,N/A,AC,1.5 DL,Feeney 4G,N/A,13,8,,,,,,,,,,,
TIP,COH,3/6/2019,Midtown Park,,"2811 Travis St, Houston, TX 77006",Private Property,29.74391,-95.37554,C,Midtown,N/A,7,AC,,,Midtown park connection (Midtown MD),13,N/A,,,,,,,,Y,,,
TIP,COH,6/29/2017,Navigation Esplanade,,"2501 Navigation BlvD., Houston, TX 77003",ROW,29.75793,-95.34371,H,Greater East End,N/A,7,AC,1.5 DL,Feeney 4G,Patrick Ezzell - East End District,13,8,,,,,,,,Y,,,
TIP,COH,7/24/2017,Pearl Washington,,"5418 Washington Ave., Houston, TX 77007",Private Property,29.77078,-95.41696,C,Washington Corridor,7,N/A,AC,1.5 DL,Feeney 4G,Pearl on Washington,13,10,,,,,,,,,,,
,COH,2/23/2013,Tellepsen YMCA,1 Suspended,"808 Pease St., Houston, TX 77002",ROW/Private Property,29.75261307,-95.37070465,I,Downtown,3,,AC,1,Feeney 4G,YMCA,10,6,,,,,,,,,,,
,HBS,12/17/2019,The Parker @ Memorial,,"160 Birdsall, Houston, TX 77007",ROW,29.76283,-95.42001,,Washington Corridor,,,AC,,,,7,,,,,,,,,,,,
,COH,3/30/2013,UHD Main & Franklin,,"100 Main St., Houston, TX 77002",Private Property,29.75261307,-95.37070465,I,Downtown,5,N/A,AC,1.5,Feeney 4G,Joe Maxwell - Downtown District,9,7,,,,,,,,Y,,,
,COH,4/5/2013,West Gray & Baldwin,,"218 Gray St., Houston, TX 77002",ROW,29.75246048,-95.37767029,C,Midtown,6,N/A,AC,1.5,Feeney 4G,,11,7,,,,,,,,,,,
,HBS,8/8/2023,TMC Expansion 1,,"1885 OST Houston, TX 77030",Private Property,,,,TMC,N/A ,N/A ,B,3.0,N/A,N/A,7,4,,,,,,,,,,,
,HBS,8/8/2023,TMC Expansion 2,,"1885 OST Houston, TX 77030",Private Property,,,,TMC,N/A ,N/A ,B,3.0,N/A,N/A,7,4,,,,,,,,,,,
,HBS,8/8/2023,TMC Expansion 3,,"1885 OST Houston, TX 77030",Private Property,,,,TMC,N/A ,N/A ,B,3.0,N/A,N/A,7,4,,,,,,,,,,,
,PC1,6/21/2023,Polk & Velasco,,"3202 Polk St. Houston, TX 77003",ROW,,,,East End,N/A,8,AC,,Inseego SC,"Mango Pickle, Inc.",15,0,,,,,,,,,,,
