Reporting,Owner,Installation Date,Station Name,,Adresses,Site Type,Latitude,Longitude,Council District,Agreement determined Neighborhood,Base Non-Bolted,Base Bolted,Power Type,Board Type,Aircard Type,AC Plugin,Dock,Bikes Ordered via TIP,Bikes Ordered via HBS,Method of Insurance,Station Count ,Dock Count,Bike Count,Notes,Bike to Dock Ratio,METRO?,Sponsor,Sponsor Amt Pd,"BTT
Installed"
TIP,COH,10/22/2019,Heights MKT Trail @ N Shepherd,1 Suspended,700 N Shepherd Dr. Houston TX 77007,Park,29.78328,-95.40952,C,Heights,,,DC,,,N/A,18,,,,,,,,,,,,
,HBS,7/16/2021,Heights Waterworks,1 Suspended,"449 W. 19th Street Houston, TX 77008",Park,29.80373,-95.40582,C,Heights,N/A,4,DC,1,Inseego DS,N/A,14,0,,,,,,,,,,,
,COH,9/11/2013,Leonel Castillo Comm Center,1 Suspended,"2109 South St., Houston, TX 77009",ROW,29.77857399,-95.36695099,H,Near Northside,6,N/A,DC,1.5 DL,Feeney 4G,N/A,11,7,,,,,,,,,,,
TIP,COH,12/1/2020,Levy Park,1 Suspended,"3801 Eastside St Houston, TX 77098",Park,29.7331667,-95.4243611,C,Inner Loop West,,,DC,1.5,,,18,6,,,,,,,,,,,
TIP,COH,8/24/2021,Louisiana & Walker,1 Suspended,"611 Walker St., Houston, TX 77002",Private Property," 29°45'34.21""N"," 95°22'1.33""W",I,Downtown,7,N/A,DC,1.5,Inseego DS,N/A,13,,,,,,,,,,,,
,HBS,8/1/2021,Meyerland JCC,1 Suspended,"5601 S. Braeswood Blvd., Houston, TX ",Park,29.67524,-95.48311,C,Meyerland,N/A,8,DC,1,Inseego DS,N/A,15,,,,,,,,,,,,
PC1,PC1,5/17/2022,Mickey Leland Memorial Park ,1 Suspended,"3701 Cavalcade St, Houston, TX 77026",HC Park,29.800964,-95.333735,,5th Ward,N/A,6,DC,,Inseego SC,N/A,11,0,,,,,,,,,,,
TIP,COH,6/13/2017,Moody Park ,1 Suspended,"3812 Baden St., Houston, TX 77009",Park,29.79461,-95.36553,H,Near Northside,N/A,9,DC,1.5 DL,Feeney 4G,N/A,17,11,,,,,,,,,,,
TIP,COH,12/1/2020,N. Braeswood & Kirby METRO Bus,1 Suspended,"7550 Kirby Dr Houston, TX 77030",Park,29.697916,-95.4185507,C,Inner Loop SW,,,DC,1.5,,,19,6,,,,,,,,Y,,,
TIP,COH,10/26/2017,Rice U. West Lot,1 Suspended,"College Way, Houston, TX 77005",Private Property,29.714785,-95.406,C,Rice University,14,N/A,DC,1.5 DL,Feeney 4G,N/A,27,22,,,,,,,,,,,
,COH,3/26/2013,Rusk & St. Emanuel,1 Suspended,"736 St. Emmanuel, Houston, TX 77003",ROW,29.75273705,-95.35410309,I,EaDo,5,,DC,1.5,Feeney 4G,N/A,9,7,,,,,,,,,,,
TIP,COH,12/1/2020,S. Braeswood & Linkmeadow METRO Bus,1 Suspended,"8600 Linkmeadow Blvd. Houston, TX 77025",ROW,29.6911667,-95.43525,C,Inner Loop SW,,,DC,1.5,,,19,6,,,,,,,,Y,,,
,COH,9/19/2013,Stude Park,1 Suspended,"2300 Forester, Houston, TX 77007",Park,29.77926064,-95.38558197,H,Heights,N/A,6,DC,1.5 DL,Feeney 4G,N/A,11,7,,,,,,,,,,,
"TIP, PC1",COH,11/7/2018,TSU Rec & Wellness Center,1 Suspended,"Tiger Walk, Houston, TX 77003",Private Property,29.72258,-95.36395,D,TSU,,,DC,1.5 DL,Feeney 4G,N/A,13,,,,,,,,,,,,
"TIP, PC1",COH,11/6/2018,TSU Student Center East,1 Suspended,"Tiger Walk, Houston, TX 77003",Private Property,29.7212,-95.36031,D,TSU,,,DC,1.5 DL,Feeney 4G,N/A,7,,,,,,,,,,,,
"TIP, PC1",COH,11/6/2018,TSU Student Center West,1 Suspended,"3100 Cleburne St, Houston, TX 77003",Private Property,29.72167,-95.36164,D,TSU,,,DC,1.5 DL,Feeney 4G,N/A,11,,,,,,,,,,,,
"TIP, PC1",COH,11/8/2018,TSU University Courtyard Apartments,1 Suspended,"0450 Tierwester S, Houston, TX 77003",Private Property,29.71881,-95.35838,D,TSU,,,DC,1.5 DL,Feeney 4G,N/A,11,,,,,,,,,,,,
"TIP, PC1",COH,11/7/2018,TSU University Towers,1 Suspended,"3531 Wheeler St, Houston, TX 77004",Private Property,29.72066,-95.35627,D,TSU,,,DC,1.5 DL,Feeney 4G,N/A,9,,,,,,,,,,,,
"TIP, PC1",COH,8/13/2018,UH Cougar Village,1 Suspended,"Cougar VIllage Drive, Houston TX 77004",Private Property,29.71736,-95.34367,D,UH Main,,,DC,1.5 Dl,Feeney 4G,N/A,22,,,,,,,,,,,,
"TIP, PC1",COH,11/29/2018,UH Student Garage/METRORail,1 Suspended,"4501 Wheeler Avenue, Houston TX 77004",Private Property,29.71607,-95.34088,D,UH Main,,,DC,1.5 DL,Feeney 4G,N/A,13,,,,,,,,,Y,,,
"TIP, PC1",COH,8/15/2018,UH TDECU Cullen & Cougar Place,1 Suspended,"3875 Holman St, Houston TX 77004",Private Property,29.72061,-95.34835,D,UH Main,,,DC,1.5 DL,Feeney 4G,N/A,19,,,,,,,,,,,,
"TIP, PC1",COH,8/16/2018,UH Technology Bridge,1 Suspended,"2190 Schlumberger St, Houston TX 77023",Private Property,29.7179,-95.32812,D,UH Main,,,DC,1.5 DL,Feeney 4G,N/A,30,,,,,,,,,,,,
